timestamp_ms,stream_type,seq,packet_bytes,decrypt_time_ms,latency_ms,jitter_ms,packet_lost,underrun,queue_size,decode_ok,play_ok
1774052521296,audio,0,2098,8.691688999533653,4,0,0,0,1,1,1
1774052521340,audio,1,2098,0.10082099925057264,2,2,0,0,2,1,1
1774052521341,audio,2,2098,0.07078500038915081,3,1,0,0,3,1,1
1774052521363,audio,3,2098,0.09908799984259531,2,1,0,0,4,1,1
1774052521387,audio,4,2098,0.11535900011949707,2,0,0,0,5,1,1
1774052521410,audio,5,2098,0.10637199920893181,2,0,0,0,6,1,1
1774052521435,audio,6,2098,0.11058899963245494,4,2,0,0,7,1,1
1774052521457,audio,7,2098,0.10666300022421638,2,2,0,0,8,1,1
1774052521480,audio,8,2098,0.08714500017958926,2,0,0,0,9,1,1
1774052521504,audio,9,2098,0.08628299929114291,3,1,0,0,10,1,1
1774052521509,video,0,18438,0.13037699955020798,6,0,0,0,0,1,1
1774052521527,audio,10,2098,0.1323610003964859,2,1,0,0,11,1,1
1774052521550,audio,11,2098,0.11938700026803417,2,0,0,0,12,1,1
1774052521573,audio,12,2098,0.12174099992989795,2,0,0,0,13,1,1
1774052521597,audio,13,2098,0.1081749996956205,3,1,0,0,14,1,1
1774052521620,audio,14,2098,0.10908700005529681,2,1,0,0,15,1,1
1774052521644,audio,15,2098,0.0951410002016928,3,1,0,0,16,1,1
1774052521667,audio,16,2098,0.11931600056414027,3,0,0,0,17,1,1
1774052521690,audio,17,2098,0.09822599986364366,2,1,0,0,18,1,1
1774052521702,video,1,18466,0.11668099978123792,167,161,0,0,0,1,1
1774052521706,video,2,19808,0.10999900041497312,131,36,0,0,0,1,1
1774052521710,video,3,19671,0.11365600039425772,68,63,0,0,0,1,1
1774052521713,audio,18,2098,0.08798700037004892,2,0,0,0,19,1,1
1774052521713,video,4,19503,0.10500899952603504,4,64,0,0,0,1,1
1774052521736,audio,19,2098,0.08143400009430479,2,0,0,0,20,1,1
1774052521759,audio,20,2098,0.08487099967169343,2,0,0,0,17,1,1
1774052521779,video,5,19365,0.10773400026664604,4,0,0,0,0,1,1
1774052521783,audio,21,2098,0.07866899977670982,2,0,0,0,17,1,1
1774052521806,audio,22,2098,0.08637400060251821,2,0,0,0,18,1,1
1774052521829,audio,23,2098,0.09174400020128815,2,0,0,0,17,1,1
1774052521845,video,6,19296,0.10718300018197624,3,1,0,0,0,1,1
1774052521853,audio,24,2098,0.07526300032623112,2,0,0,0,18,1,1
1774052521876,audio,25,2098,0.09496099937678082,2,0,0,0,17,1,1
1774052521899,audio,26,2098,0.07895999988249969,2,0,0,0,18,1,1
1774052521912,video,7,19225,0.12916499963466777,3,0,0,0,0,1,1
1774052521922,audio,27,2098,0.0721970000086003,2,0,0,0,17,1,1
1774052521946,audio,28,2098,0.1453360000596149,2,0,0,0,16,1,1
